spec,labels,cases,runs,alpha_masi,observed_disagreement,expected_disagreement,delta_vs_reported_original,annotations,unique_label_sets,empty_annotations,empty_annotation_rate,exact_case_sets,exact_case_set_rate,all_empty_cases,all_empty_case_rate
original,14,296,6,0.23766563423588327,0.5827566935900187,0.7644371285897619,-0.0006700100099270578,1776,139,0,0.0,2,0.006756756756756757,0,0.0
natural_tight,9,296,6,0.2769691756984919,0.5341300228800283,0.738737554371946,0.03863353145268156,1776,51,0,0.0,4,0.013513513513513514,0,0.0
j_only,11,296,6,0.24153197262737225,0.576218391010047,0.7597134885251488,0.0031963283815619192,1776,113,0,0.0,2,0.006756756756756757,0,0.0
j_all,10,296,6,0.24372575278480246,0.5726994851994743,0.7572642957343924,0.005390108538992133,1776,95,0,0.0,2,0.006756756756756757,0,0.0
broad_clusters,6,296,6,0.26248020515492865,0.494929929929923,0.6710734184889119,0.024144560909118318,1776,20,0,0.0,13,0.04391891891891892,0,0.0
j_family_original,5,296,6,0.10024046490831529,0.1558996496496496,0.17326812728221166,-0.13809517933749504,1776,14,1611,0.9070945945945946,188,0.6351351351351351,188,0.6351351351351351
j_family_tight,2,296,6,0.1124485762858537,0.15225225225225245,0.17154189400668274,-0.12588706795995663,1776,4,1611,0.9070945945945946,188,0.6351351351351351,188,0.6351351351351351
j_family_all,1,296,6,0.12790850779677598,0.14707207207207207,0.16864293871336125,-0.11042713644903435,1776,2,1611,0.9070945945945946,188,0.6351351351351351,188,0.6351351351351351
