spec,labels,cases,runs,alpha_masi,observed_disagreement,expected_disagreement,delta_vs_reported_original,annotations,missing_annotations,unique_label_sets,empty_annotations,empty_annotation_rate,exact_case_sets,exact_case_set_rate,all_empty_cases,all_empty_case_rate
original,14,297,6,0.2381720571104643,0.5826456298591044,0.7647995000671529,-0.00016358713534603275,1781,1,139,0,0.0,2,0.006734006734006734,0,0.0
natural_tight,9,297,6,0.27755491800387844,0.5339784198323573,0.7391266590907791,0.03921927375806811,1781,1,51,0,0.0,4,0.013468013468013467,0,0.0
j_only,11,297,6,0.24204374910442505,0.5761220200939191,0.7600993057491026,0.0037081048586147247,1781,1,113,0,0.0,2,0.006734006734006734,0,0.0
j_all,10,297,6,0.24423995401163578,0.5726110219368533,0.757662468367201,0.005904309765825455,1781,1,95,0,0.0,2,0.006734006734006734,0,0.0
broad_clusters,6,297,6,0.26317576787116903,0.4948664169787691,0.6716207141410131,0.0248401236253587,1781,1,20,0,0.0,13,0.04377104377104377,0,0.0
j_family_original,5,297,6,0.09991800426061426,0.15554931335830208,0.17281682568322432,-0.13841763998519607,1781,1,14,1616,0.9073554183043234,189,0.6363636363636364,189,0.6363636363636364
j_family_tight,2,297,6,0.11215739871292407,0.15191011235955076,0.1711002740117806,-0.12617824553288626,1781,1,4,1616,0.9073554183043234,189,0.6363636363636364,189,0.6363636363636364
j_family_all,1,297,6,0.12766801680168016,0.14674157303370786,0.16821757755080152,-0.11066762744413017,1781,1,2,1616,0.9073554183043234,189,0.6363636363636364,189,0.6363636363636364
