spec,labels,cases,runs,alpha_masi,observed_disagreement,expected_disagreement,delta_vs_reported_original,annotations,missing_annotations,unique_label_sets,empty_annotations,empty_annotation_rate,exact_case_sets,exact_case_set_rate,all_empty_cases,all_empty_case_rate
original,14,297,5,0.231193297537441,0.5867107767984436,0.7631447214483884,-0.006978702462558994,1484,1,125,0,0.0,2,0.006734006734006734,0,0.0
natural_tight,9,297,5,0.26998016511609657,0.5383055582313948,0.7373848387516795,0.031808165116096576,1484,1,49,0,0.0,6,0.020202020202020204,0,0.0
j_only,11,297,5,0.23451231608082845,0.5806071990495522,0.7584801313548749,-0.0036596839191715413,1484,1,104,0,0.0,2,0.006734006734006734,0,0.0
j_all,10,297,5,0.23657797667758973,0.5772205364501446,0.7560962597569332,-0.0015940233224102651,1484,1,87,0,0.0,2,0.006734006734006734,0,0.0
broad_clusters,6,297,5,0.25774598668180937,0.4968588446842042,0.6693919275195754,0.019573986681809374,1484,1,20,0,0.0,16,0.05387205387205387,0,0.0
j_family_original,5,297,5,0.12387693009116074,0.14886491346369973,0.1699132445846782,-0.11429506990883925,1484,1,12,1349,0.9090296495956873,206,0.6936026936026936,205,0.6902356902356902
j_family_tight,2,297,5,0.13662387309152302,0.14531355360755213,0.16830851476966566,-0.10154812690847698,1484,1,4,1349,0.9090296495956873,206,0.6936026936026936,205,0.6902356902356902
j_family_all,1,297,5,0.1525354858193999,0.14025623735670936,0.16550101509833823,-0.08563651418060009,1484,1,2,1349,0.9090296495956873,206,0.6936026936026936,205,0.6902356902356902
