spec,labels,cases,pass_rows,exact_all_cases,exact_all_case_rate,mean_pairwise_jaccard,mean_unique_sets_per_case,mean_union_size,mean_intersection_size,mean_label_pair_agreement
original,14,296,1480,2,0.006756756756756757,0.637763688076188,3.652027027027027,7.0675675675675675,2.5878378378378377,0.8430019305019305
natural_tight,9,296,1480,6,0.02027027027027027,0.648529601029601,3.141891891891892,4.881756756756757,1.8547297297297298,0.831081081081081
j_only,11,296,1480,2,0.006756756756756757,0.6502510993135994,3.641891891891892,6.489864864864865,2.5777027027027026,0.8230958230958231
j_all,10,296,1480,2,0.006756756756756757,0.6566598294723295,3.6385135135135136,6.29054054054054,2.574324324324324,0.8141891891891891
broad_clusters,6,296,1480,16,0.05405405405405406,0.6396283783783783,2.7263513513513513,3.527027027027027,1.1993243243243243,0.8038288288288289
j_family_original,5,296,1480,205,0.6925675675675675,0.8526576576576577,1.3952702702702702,1.087837837837838,0.016891891891891893,0.903918918918919
j_family_tight,2,296,1480,205,0.6925675675675675,0.8555743243243243,1.3547297297297298,0.5101351351351351,0.006756756756756757,0.8858108108108108
j_family_all,1,296,1480,205,0.6925675675675675,0.8594594594594595,1.3074324324324325,0.3108108108108108,0.0033783783783783786,0.8594594594594595
