target,lambda,mean_nonzero,mean_logloss,se_logloss,mean_accuracy,mean_precision,mean_recall,mean_f1
F1,0.001,11.2,0.29463908840375785,0.018842528907919768,0.8664480585204271,0.8226284064632823,0.9623200512248905,0.8864281977382177
F1,0.0013869188565300285,10.8,0.29455905517947867,0.01886401519959849,0.8670730585204269,0.8228235081652334,0.9634436467305084,0.8869977963610548
F1,0.00192354391459856,10.4,0.29473929012379485,0.01895424627679172,0.8669098883572568,0.8221331071924141,0.9647594362041927,0.8871324564215335
F1,0.0026677993265203275,10.0,0.2953153708029998,0.019122995563635104,0.8669288277511962,0.8215077298178107,0.9658830317098106,0.8871950068795247
F1,0.0037000211913891527,9.2,0.29621511373215337,0.019333387498335356,0.8683041191264875,0.8219455759377177,0.9685060107259785,0.8885333229224293
F1,0.005131629159898318,8.2,0.2968656677919604,0.01935968539123447,0.8669098883572568,0.8194720548290535,0.969779896076297,0.8876566351839557
F1,0.007117153246582319,6.8,0.2976158082543231,0.019217022886386406,0.8683133971291866,0.819846061374168,0.9723276667769338,0.8889493516840454
F1,0.00987091404249892,5.4,0.2991269256712209,0.019115754824114137,0.8683133971291866,0.819846061374168,0.9723276667769338,0.8889493516840454
F1,0.013690156816728805,4.4,0.30132683325647835,0.01897757163356851,0.8683133971291866,0.819846061374168,0.9723276667769338,0.8889493516840454
F1,0.018987136637974283,4.0,0.3048131831305355,0.0188062474589704,0.8676883971291867,0.819650390590262,0.9712040712713159,0.8883829356439452
F1,0.02633361783471869,3.4,0.3101387526761686,0.018439864580901456,0.8676883971291867,0.819650390590262,0.9712040712713159,0.8883829356439452
F1,0.036522591135626795,3.0,0.3179047569009988,0.01786523282316936,0.8669866427432217,0.8195294065870357,0.969954071271316,0.887738918132458
F1,0.05065387033533725,3.0,0.3296107958520174,0.017074289057917125,0.8669866427432217,0.8195294065870357,0.969954071271316,0.887738918132458
F1,0.07025280792430623,3.0,0.34718513685853275,0.015980081931742825,0.8669866427432217,0.8195294065870357,0.969954071271316,0.887738918132458
F1,0.09743494403440249,3.0,0.3736325713093658,0.01445396329801515,0.8676116427432217,0.819218320614185,0.9722012622825519,0.8884346874063891
