antecedent,consequent,antecedent_support,cofire,confidence,misses,meets_threshold
J3,S1,78,3,0.038461538461538464,75,False
U4,J3,762,26,0.03412073490813648,736,False
U4,J4,762,23,0.030183727034120734,739,False
U4,J5,762,23,0.030183727034120734,739,False
J4,S1,68,2,0.029411764705882353,66,False
J5,S1,70,2,0.02857142857142857,68,False
S1,F2,514,14,0.027237354085603113,500,False
S1,F1,514,11,0.021400778210116732,503,False
S1,J2,514,10,0.019455252918287938,504,False
F2,S1,964,14,0.014522821576763486,950,False
F1,S1,800,11,0.01375,789,False
F3,S1,318,2,0.006289308176100629,316,False
S1,J3,514,3,0.005836575875486381,511,False
S1,F3,514,2,0.0038910505836575876,512,False
S1,J4,514,2,0.0038910505836575876,512,False
S1,J5,514,2,0.0038910505836575876,512,False
S1,U2,514,2,0.0038910505836575876,512,False
U4,U2,762,1,0.0013123359580052493,761,False
U1,U2,1317,0,0.0,1317,False
U3,U2,1080,0,0.0,1080,False
F2,U2,964,0,0.0,964,False
F1,U2,800,0,0.0,800,False
H1,U2,630,0,0.0,630,False
F3,U2,318,0,0.0,318,False
J1,U2,132,0,0.0,132,False
J2,U2,99,0,0.0,99,False
J3,U2,78,0,0.0,78,False
J5,U2,70,0,0.0,70,False
J4,U2,68,0,0.0,68,False
