spec,label,members,cases,seen_cases,seen_case_rate,mean_entropy_all_cases,mean_entropy_seen_cases,unanimous_given_seen,flicker_given_seen,hist_fired_passes
original,F1,F1,296,194,0.6554054054054054,0.2579498152314697,0.39357291396141764,0.520618556701031,0.4793814432989691,1:10 2:10 3:27 4:46 5:101
original,F2,F2,296,197,0.6655405405405406,0.04154701694898553,0.062425974705074695,0.9187817258883249,0.08121827411167512,2:2 3:1 4:13 5:181
original,F3,F3,296,144,0.4864864864864865,0.40707327111648856,0.8367617239616709,0.027777777777777776,0.9722222222222222,1:43 2:55 3:23 4:19 5:4
original,H1,H1,296,259,0.875,0.7047256699584794,0.8054007656668336,0.0694980694980695,0.9305019305019305,1:64 2:93 3:46 4:38 5:18
original,J1,J1,296,92,0.3108108108108108,0.2421351237309639,0.7790434415691883,0.010869565217391304,0.9891304347826086,1:66 2:15 3:9 4:1 5:1
original,J2,J2,296,71,0.23986486486486486,0.18586949876461784,0.7748925582299561,0.014084507042253521,0.9859154929577465,1:52 2:12 3:6 5:1
original,J3,J3,296,57,0.19256756756756757,0.1483590821203871,0.7704261106602558,0.017543859649122806,0.9824561403508771,1:42 2:11 3:3 5:1
original,J4,J4,296,50,0.16891891891891891,0.1287625815700038,0.7622744828944225,0.02,0.98,1:38 2:8 3:3 5:1
original,J5,J5,296,52,0.17567567567567569,0.1327991818747586,0.7559338045178566,0.019230769230769232,0.9807692307692307,1:41 2:6 3:4 5:1
original,S1,S1,296,115,0.3885135135135135,0.05054644020505546,0.13010214174518622,0.8347826086956521,0.16521739130434782,1:11 2:4 3:1 4:3 5:96
original,U1,U1,296,294,0.9932432432432432,0.22977854351647856,0.23134166286012806,0.7346938775510204,0.2653061224489796,1:4 2:16 3:31 4:27 5:216
original,U2,U2,296,2,0.006756756756756757,0.004877892533022718,0.7219280948873623,0.0,1.0,1:2
original,U3,U3,296,283,0.956081081081081,0.44003750494620997,0.46025124192253763,0.4416961130742049,0.558303886925795,1:24 2:40 3:25 4:69 5:125
original,U4,U4,296,282,0.9527027027027027,0.7651977560661651,0.803186297147464,0.07092198581560284,0.9290780141843972,1:55 2:71 3:79 4:57 5:20
natural_tight,F12,F1 F2,296,198,0.668918918918919,0.016316262055604006,0.02439198771948882,0.9696969696969697,0.030303030303030304,1:1 2:1 3:1 4:3 5:192
natural_tight,F3,F3,296,144,0.4864864864864865,0.40707327111648856,0.8367617239616709,0.027777777777777776,0.9722222222222222,1:43 2:55 3:23 4:19 5:4
natural_tight,H1,H1,296,259,0.875,0.7047256699584794,0.8054007656668336,0.0694980694980695,0.9305019305019305,1:64 2:93 3:46 4:38 5:18
natural_tight,J12,J1 J2,296,92,0.3108108108108108,0.2421351237309639,0.7790434415691883,0.010869565217391304,0.9891304347826086,1:66 2:15 3:9 4:1 5:1
natural_tight,J345,J3 J4 J5,296,59,0.19932432432432431,0.15491955910994565,0.7772235507888798,0.01694915254237288,0.9830508474576272,1:42 2:12 3:4 5:1
natural_tight,S1,S1,296,115,0.3885135135135135,0.05054644020505546,0.13010214174518622,0.8347826086956521,0.16521739130434782,1:11 2:4 3:1 4:3 5:96
natural_tight,U13,U1 U3,296,294,0.9932432432432432,0.2248157205651634,0.22634507920846383,0.7380952380952381,0.2619047619047619,1:4 2:16 3:28 4:29 5:217
natural_tight,U2,U2,296,2,0.006756756756756757,0.004877892533022718,0.7219280948873623,0.0,1.0,1:2
natural_tight,U4,U4,296,282,0.9527027027027027,0.7651977560661651,0.803186297147464,0.07092198581560284,0.9290780141843972,1:55 2:71 3:79 4:57 5:20
j_only,F1,F1,296,194,0.6554054054054054,0.2579498152314697,0.39357291396141764,0.520618556701031,0.4793814432989691,1:10 2:10 3:27 4:46 5:101
j_only,F2,F2,296,197,0.6655405405405406,0.04154701694898553,0.062425974705074695,0.9187817258883249,0.08121827411167512,2:2 3:1 4:13 5:181
j_only,F3,F3,296,144,0.4864864864864865,0.40707327111648856,0.8367617239616709,0.027777777777777776,0.9722222222222222,1:43 2:55 3:23 4:19 5:4
j_only,H1,H1,296,259,0.875,0.7047256699584794,0.8054007656668336,0.0694980694980695,0.9305019305019305,1:64 2:93 3:46 4:38 5:18
