spec,cases,mean_entropy_bits,median_entropy_bits,mean_normalized_entropy,mean_unique_sets,zero_entropy_cases,zero_entropy_case_rate,max_entropy_bits
broad_clusters,296,1.24867204901897,1.3709505944546687,0.5377737802339412,2.7263513513513513,16,0.05405405405405406,2.321928094887362
j_all,296,1.7262718914382789,1.9219280948873623,0.743464836503484,3.6385135135135136,2,0.006756756756756757,2.321928094887362
j_only,296,1.7276232427896303,1.9219280948873623,0.7440468318522319,3.641891891891892,2,0.006756756756756757,2.321928094887362
natural_tight,296,1.482600227935383,1.5219280948873621,0.6385211631660388,3.141891891891892,6,0.02027027027027027,2.321928094887362
original,296,1.7316772968436844,1.9219280948873623,0.7457928178984754,3.652027027027027,2,0.006756756756756757,2.321928094887362
